"datasetid","database","datasettype","age_range_old","age_range_young","notes"
49249,"Academy of Natural Sciences of Drexel University","diatom",13742,-64,"Depths are the tops of the intervals.  Diatom microscope slides are in the Academy of Natural Sciences Diatom Herbarium."
32252,"Academy of Natural Sciences of Drexel University","diatom",597.3,-35.75,"Microscope slides are archieved in the Diatom Herbarium at the Academy of Natural Sciences. Paper copies are in the ANSP Library Archieves."
